response,query,id
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ",37
panic disorder,"depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ",38
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,insomnia ,abnormal involuntary movements ,palpitations ",39
panic disorder,"anxiety and nervousness ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",40
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ",41
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ",42
panic disorder,"anxiety and nervousness ,shortness of breath ,palpitations ,irregular heartbeat ",43
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,insomnia ,abnormal involuntary movements ,irregular heartbeat ",44
panic disorder,"depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",45
panic disorder,"anxiety and nervousness ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",46
panic disorder,"dizziness ,insomnia ,chest tightness ",47
panic disorder,"depression ,shortness of breath ,insomnia ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ,breathing fast ",48
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ,breathing fast ",49
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,irregular heartbeat ,breathing fast ",50
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,breathing fast ",51
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ",52
panic disorder,"depression ,depressive or psychotic symptoms ,insomnia ,chest tightness ",53
panic disorder,"dizziness ,insomnia ,irregular heartbeat ",54
panic disorder,"depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",55
panic disorder,"shortness of breath ,breathing fast ",56
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abnormal involuntary movements ",57
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,breathing fast ",58
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",59
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",60
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,irregular heartbeat ,breathing fast ",61
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ",62
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,abnormal involuntary movements ",63
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,chest tightness ,breathing fast ",64
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",65
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",66
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,chest tightness ",67
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,chest tightness ,breathing fast ",68
panic disorder,"anxiety and nervousness ,insomnia ,irregular heartbeat ,breathing fast ",69
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,palpitations ,irregular heartbeat ,breathing fast ",70
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ",71
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,chest tightness ,irregular heartbeat ",72
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,palpitations ,irregular heartbeat ",73
panic disorder,"depression ,depressive or psychotic symptoms ,chest tightness ,palpitations ,irregular heartbeat ",74
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",75
panic disorder,"anxiety and nervousness ,dizziness ",76
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,palpitations ,breathing fast ",77
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,chest tightness ,palpitations ,breathing fast ",78
panic disorder,"depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ",79
panic disorder,"depression ,dizziness ,palpitations ,breathing fast ",80
panic disorder,"anxiety and nervousness ,shortness of breath ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",81
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ",82
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ",83
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,abnormal involuntary movements ,breathing fast ",84
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",85
panic disorder,"depression ,depressive or psychotic symptoms ,insomnia ,irregular heartbeat ,breathing fast ",86
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ",87
panic disorder,"depressive or psychotic symptoms ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",88
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,breathing fast ",89
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",90
panic disorder,"shortness of breath ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",91
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ",92
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,breathing fast ",93
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ",94
panic disorder,depression ,95
panic disorder,"depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",96
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,irregular heartbeat ",97
panic disorder,"anxiety and nervousness ,dizziness ,breathing fast ",98
panic disorder,"depressive or psychotic symptoms ,palpitations ,irregular heartbeat ",99
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ",100
panic disorder,"anxiety and nervousness ,shortness of breath ,insomnia ,palpitations ,breathing fast ",101
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ",102
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,breathing fast ",103
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",104
panic disorder,"anxiety and nervousness ,depression ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ",105
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,irregular heartbeat ,breathing fast ",106
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ",107
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,abnormal involuntary movements ,palpitations ,breathing fast ",108
panic disorder,"anxiety and nervousness ,depression ,abnormal involuntary movements ,palpitations ,irregular heartbeat ",109
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,palpitations ",110
panic disorder,"anxiety and nervousness ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",111
panic disorder,"anxiety and nervousness ,abnormal involuntary movements ,palpitations ",112
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ,irregular heartbeat ",113
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ,palpitations ",114
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,dizziness ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",115
panic disorder,"anxiety and nervousness ,abnormal involuntary movements ",116
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,palpitations ",117
panic disorder,"dizziness ,insomnia ,irregular heartbeat ,breathing fast ",118
panic disorder,"depression ,depressive or psychotic symptoms ,insomnia ,palpitations ",119
panic disorder,"depressive or psychotic symptoms ,insomnia ,irregular heartbeat ",120
panic disorder,"depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ",121
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ,breathing fast ",122
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,chest tightness ",123
panic disorder,"anxiety and nervousness ,depression ,dizziness ,insomnia ,irregular heartbeat ,breathing fast ",124
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,chest tightness ,palpitations ",125
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",126
panic disorder,"depression ,shortness of breath ,dizziness ,palpitations ",127
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,palpitations ,breathing fast ",128
panic disorder,"anxiety and nervousness ,depression ,dizziness ,insomnia ,chest tightness ,breathing fast ",129
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ,breathing fast ",130
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,chest tightness ,irregular heartbeat ,breathing fast ",131
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,palpitations ",132
panic disorder,"depression ,dizziness ,insomnia ",133
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,breathing fast ",134
panic disorder,"dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",135
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ",136
panic disorder,"shortness of breath ,dizziness ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",137
panic disorder,"depressive or psychotic symptoms ,dizziness ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",138
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ,breathing fast ",139
panic disorder,"depression ,insomnia ,abnormal involuntary movements ,chest tightness ",140
panic disorder,"anxiety and nervousness ,abnormal involuntary movements ,chest tightness ",141
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ",142
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",143
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,palpitations ,irregular heartbeat ",144
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",145
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",146
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,palpitations ,irregular heartbeat ,breathing fast ",147
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,palpitations ,irregular heartbeat ,breathing fast ",148
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,irregular heartbeat ",149
panic disorder,"depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ",150
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,irregular heartbeat ",151
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",152
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",153
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,insomnia ,chest tightness ,irregular heartbeat ,breathing fast ",154
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",155
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",156
panic disorder,"anxiety and nervousness ,insomnia ,abnormal involuntary movements ,irregular heartbeat ",157
panic disorder,"anxiety and nervousness ,shortness of breath ,insomnia ,chest tightness ,palpitations ,breathing fast ",158
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,palpitations ,breathing fast ",159
panic disorder,"depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,irregular heartbeat ",160
panic disorder,"anxiety and nervousness ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,breathing fast ",161
panic disorder,"anxiety and nervousness ,shortness of breath ,breathing fast ",162
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,palpitations ",163
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,breathing fast ",164
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ",165
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",166
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",167
panic disorder,"depression ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ",168
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,irregular heartbeat ",169
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,chest tightness ,palpitations ",170
panic disorder,"depression ,insomnia ,abnormal involuntary movements ,breathing fast ",171
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",172
panic disorder,"anxiety and nervousness ,dizziness ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",173
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ",174
panic disorder,"depressive or psychotic symptoms ,insomnia ,palpitations ,breathing fast ",175
panic disorder,"depression ,shortness of breath ,dizziness ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",176
panic disorder,"depression ,shortness of breath ,dizziness ,abnormal involuntary movements ,breathing fast ",177
panic disorder,"anxiety and nervousness ,shortness of breath ,insomnia ,chest tightness ,breathing fast ",178
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,breathing fast ",179
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ",180
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",181
panic disorder,"anxiety and nervousness ,depression ,chest tightness ,palpitations ,irregular heartbeat ",182
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ,breathing fast ",183
panic disorder,"anxiety and nervousness ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",184
panic disorder,"depression ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",185
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ",186
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ",187
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ",188
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,irregular heartbeat ",189
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",190
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,breathing fast ",191
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,dizziness ,palpitations ,breathing fast ",192
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",193
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,chest tightness ",194
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,irregular heartbeat ",195
panic disorder,"dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ",196
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",197
panic disorder,"depression ,shortness of breath ,palpitations ,irregular heartbeat ",198
panic disorder,"depressive or psychotic symptoms ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",199
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,chest tightness ,palpitations ,irregular heartbeat ",200
panic disorder,"anxiety and nervousness ,depression ,dizziness ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ",201
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,chest tightness ,breathing fast ",202
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ",203
panic disorder,"shortness of breath ,insomnia ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",204
panic disorder,"depression ,shortness of breath ,insomnia ,breathing fast ",205
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,abnormal involuntary movements ,breathing fast ",206
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,chest tightness ,breathing fast ",207
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",208
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ",209
panic disorder,"anxiety and nervousness ,depression ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,breathing fast ",210
panic disorder,"shortness of breath ,insomnia ",211
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,dizziness ,insomnia ,irregular heartbeat ",212
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,irregular heartbeat ,breathing fast ",213
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,breathing fast ",214
panic disorder,"anxiety and nervousness ,depression ,insomnia ,chest tightness ",215
panic disorder,"depression ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",216
panic disorder,"anxiety and nervousness ,shortness of breath ,insomnia ,abnormal involuntary movements ",217
panic disorder,"depressive or psychotic symptoms ,dizziness ,chest tightness ",218
panic disorder,"depressive or psychotic symptoms ,dizziness ,breathing fast ",219
panic disorder,"depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ,breathing fast ",220
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ",221
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,chest tightness ,palpitations ,irregular heartbeat ",222
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",223
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,abnormal involuntary movements ,palpitations ",224
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,palpitations ,irregular heartbeat ,breathing fast ",225
panic disorder,"anxiety and nervousness ,dizziness ,chest tightness ,palpitations ",226
panic disorder,"depression ,shortness of breath ,dizziness ,palpitations ,irregular heartbeat ",227
panic disorder,"anxiety and nervousness ,depression ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ",228
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,chest tightness ,irregular heartbeat ",229
panic disorder,"shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,irregular heartbeat ",230
panic disorder,"depression ,dizziness ,chest tightness ,palpitations ,irregular heartbeat ",231
panic disorder,"anxiety and nervousness ,dizziness ,palpitations ,breathing fast ",232
panic disorder,"anxiety and nervousness ,depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",233
panic disorder,"anxiety and nervousness ,depression ,insomnia ,chest tightness ,irregular heartbeat ,breathing fast ",234
panic disorder,"anxiety and nervousness ,shortness of breath ,insomnia ,palpitations ,irregular heartbeat ",235
panic disorder,"anxiety and nervousness ,shortness of breath ,dizziness ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",236
panic disorder,"anxiety and nervousness ,shortness of breath ,depressive or psychotic symptoms ,dizziness ,insomnia ,abnormal involuntary movements ,chest tightness ,palpitations ",237
panic disorder,"shortness of breath ,chest tightness ,palpitations ",238
panic disorder,"anxiety and nervousness ,depression ,abnormal involuntary movements ,palpitations ,breathing fast ",239
panic disorder,"anxiety and nervousness ,depression ,shortness of breath ,depressive or psychotic symptoms ,abnormal involuntary movements ,breathing fast ",240
panic disorder,"depressive or psychotic symptoms ,insomnia ,abnormal involuntary movements ,palpitations ,breathing fast ",241
panic disorder,"anxiety and nervousness ,dizziness ,insomnia ,chest tightness ,palpitations ,irregular heartbeat ,breathing fast ",242
panic disorder,"shortness of breath ,abnormal involuntary movements ,palpitations ,irregular heartbeat ",243
panic disorder,"depression ,depressive or psychotic symptoms ,dizziness ,abnormal involuntary movements ,irregular heartbeat ",244
