symptom,bengali_nam
Painful urination, মূত্রত্যাগে ব্যথা
Involuntary urination, অনিচ্ছাকৃত মূত্রত্যাগ / প্রস্রাবের নিয়ন্ত্রণ হারানো
Pain during intercourse, সহবাসে ব্যথা
Frequent urination, বারবার মূত্রত্যাগ
Lower abdominal pain, নিচের পেটে ব্যথা
Vaginal discharge, যোনি স্রাব
Blood in urine, মূত্রে রক্ত
Hot flashes, হঠাৎ গরম অনুভব / ঘাম ও তাপমাত্রা বৃদ্ধি
Intermenstrual bleeding, মাসিকের মধ্যবর্তী সময়ে রক্তপাত
Hand or finger pain, হাত বা আঙুলে ব্যথা
Wrist pain, কব্জিতে ব্যথা
Hand or finger swelling, হাত বা আঙুল ফুলে যাওয়া
Arm pain, হাতে ব্যথা
Wrist swelling, কব্জি ফুলে যাওয়া
Arm stiffness or tightness, হাতে শক্তভাব বা টান অনুভব
Arm swelling, হাত ফুলে যাওয়া
Hand or finger stiffness or tightness, হাত বা আঙুল শক্ত বা টান ধরা
Wrist stiffness or tightness, কব্জিতে শক্তভাব বা টান ধরা
Lip swelling, ঠোঁট ফুলে যাওয়া
Toothache, দাঁতের ব্যথা
Abnormal appearing skin, অস্বাভাবিক ত্বক দেখা
Skin lesion, ত্বকের ক্ষত / দাগ
Acne or pimples, ব্রণ বা ফুসকুড়ি
Dry lips, শুকনো ঠোঁট
Facial pain, মুখে ব্যথা
Mouth ulcer, মুখে ঘা
Skin growth, ত্বকে অস্বাভাবিক বৃদ্ধি / গোঁটা
Eye deviation, চোখের বক্রতা / চোখ একদিকে ঘোরা
Diminished vision, দৃষ্টিশক্তি কমে যাওয়া
Double vision, দুটি ছবি দেখা / দ্বিগুণ দেখা
Cross-eyed, তেঁড়া চোখ / চোখ একে অপরের দিকে ঘোরা
Symptoms of eye, চোখের উপসর্গ
Pain in eye, চোখে ব্যথা
Eye moves abnormally, চোখ অস্বাভাবিকভাবে নড়াচড়া করে
Abnormal movement of eyelid, চোখের পাতা অস্বাভাবিকভাবে নড়ে
Foreign body sensation in eye, চোখে কিছু ঢুকে আছে এমন অনুভূতি
Irregular appearing scalp, মাথার ত্বক অস্বাভাবিক দেখা যায়
Swollen lymph nodes, লসিকা গ্রন্থি ফুলে যাওয়া
Back pain, পিঠে ব্যথা
Neck pain, ঘাড়ে ব্যথা
Low back pain, কোমরে ব্যথা
Pain of the anus, মলদ্বারে ব্যথা
Pain during pregnancy, গর্ভাবস্থায় ব্যথা
Pelvic pain, পেলভিক অঞ্চলে ব্যথা / তলপেটে ব্যথা
Impotence, নপুংসকতা / যৌন অক্ষমতা
Infant spitting up, শিশুর দুধ উগরে দেওয়া
Vomiting blood, রক্ত বমি হওয়া
Regurgitation, খাওয়া খাবার মুখে ফিরে আসা / উগরে দেওয়া
Burning abdominal pain, পেটে জ্বালাপোড়া ধরনের ব্যথা
Restlessness, অস্থিরতা / অস্বস্তি অনুভব করা
symptoms of infants,
wheezing,
peripheral edema,
neck mass,
ear pain,
jaw swelling,
mouth dryness,
neck swelling,
knee pain,
foot or toe pain,
bowlegged or knock-kneed,
ankle pain,
bones are painful,
knee weakness,
elbow pain,
knee swelling,
skin moles,
knee lump or mass,
weight gain,
problems with movement,
knee stiffness or tightness,
leg swelling,
foot or toe swelling,
heartburn,
smoking problems,
muscle pain,
infant feeding problem,
recent weight loss,
problems with shape or size of breast,
underweight,
difficulty eating,
scanty menstrual flow,
vaginal pain,
vaginal redness,
vulvar irritation,
weakness,
decreased heart rate,
increased heart rate,
bleeding or discharge from nipple,
ringing in ear,
plugged feeling in ear,
itchy ear(s),
frontal headache,
fluid in ear,
neck stiffness or tightness,
spots or clouds in vision,
eye redness,
lacrimation,
itchiness of eye,
blindness,
eye burns or stings,
itchy eyelid,
feeling cold,
decreased appetite,
excessive appetite,
excessive anger,
loss of sensation,
focal weakness,
slurring words,
symptoms of the face,
disturbance of memory,
paresthesia,
side pain,
fever,
shoulder pain,
shoulder stiffness or tightness,
shoulder weakness,
arm cramps or spasms,
shoulder swelling,
tongue lesions,
leg cramps or spasms,
abnormal appearing tongue,
ache all over,
lower body pain,
problems during pregnancy,
spotting or bleeding during pregnancy,
cramps and spasms,
upper abdominal pain,
stomach bloating,
changes in stool appearance,
unusual color or odor to urine,
kidney mass,
swollen abdomen,
symptoms of prostate,
leg stiffness or tightness,
difficulty breathing,
rib pain,
joint pain,
muscle stiffness or tightness,
pallor,
hand or finger lump or mass,
chills,
groin pain,
fatigue,
abdominal distention,
regurgitation.1,
symptoms of the kidneys,
melena,
flushing,
coughing up sputum,
seizures,
delusions or hallucinations,
shoulder cramps or spasms,
joint stiffness or tightness,
pain or soreness of breast,
excessive urination at night,
bleeding from eye,
rectal bleeding,
constipation,
temper problems,
coryza,
wrist weakness,
eye strain,
hemoptysis,
lymphedema,
skin on leg or foot looks infected,
allergic reaction,
congestion in chest,
muscle swelling,
pus in urine,
abnormal size or shape of ear,
low back weakness,
sleepiness,
apnea,
abnormal breathing sounds,
excessive growth,
elbow cramps or spasms,
feeling hot and cold,
blood clots during menstrual periods,
absence of menstruation,
pulling at ears,
gum pain,
redness in ear,
fluid retention,
flu-like syndrome,
sinus congestion,
painful sinuses,
fears and phobias,
recent pregnancy,
uterine contractions,
burning chest pain,
back cramps or spasms,
stiffness all over,
"muscle cramps, contractures, or spasms",
low back cramps or spasms,
back mass or lump,
nosebleed,
long menstrual periods,
heavy menstrual flow,
unpredictable menstruation,
painful menstruation,
infertility,
frequent menstruation,
sweating,
mass on eyelid,
swollen eye,
eyelid swelling,
eyelid lesion or rash,
unwanted hair,
symptoms of bladder,
irregular appearing nails,
itching of skin,
hurts to breath,
nailbiting,
"skin dryness, peeling, scaliness, or roughness",
skin on arm or hand looks infected,
skin irritation,
itchy scalp,
hip swelling,
incontinence of stool,
foot or toe cramps or spasms,
warts,
bumps on penis,
too little hair,
foot or toe lump or mass,
skin rash,
mass or swelling around the anus,
low back swelling,
ankle swelling,
hip lump or mass,
drainage in throat,
dry or flaky scalp,
premenstrual tension or irritability,
feeling hot,
feet turned in,
foot or toe stiffness or tightness,
pelvic pressure,
elbow swelling,
elbow stiffness or tightness,
early or late onset of menopause,
mass on ear,
bleeding from ear,
hand or finger weakness,
low self-esteem,
throat irritation,
itching of the anus,
swollen or red tonsils,
irregular belly button,
swollen tongue,
lip sore,
vulvar sore,
hip stiffness or tightness,
mouth pain,
arm weakness,
leg lump or mass,
disturbance of smell or taste,
discharge in stools,
penis pain,
loss of sex drive,
obsessions and compulsions,
antisocial behavior,
neck cramps or spasms,
pupils unequal,
poor circulation,
thirst,
sleepwalking,
skin oiliness,
sneezing,
bladder mass,
knee cramps or spasms,
premature ejaculation,
leg weakness,
posture problems,
bleeding in mouth,
tongue bleeding,
change in skin mole size or color,
penis redness,
penile discharge,
shoulder lump or mass,
polyuria,
cloudy eye,
hysterical behavior,
arm lump or mass,
nightmares,
bleeding gums,
pain in gums,
bedwetting,
diaper rash,
lump or mass of breast,
vaginal bleeding after menopause,
infrequent menstruation,
mass on vulva,
jaw pain,
itching of scrotum,
postpartum problems of the breast,
eyelid retracted,
hesitancy,
elbow lump or mass,
muscle weakness,
throat redness,
joint swelling,
tongue pain,
redness in or around nose,
wrinkles on skin,
foot or toe weakness,
hand or finger cramps or spasms,
back stiffness or tightness,
wrist lump or mass,
skin pain,
low back stiffness or tightness,
low urine output,
skin on head or neck looks infected,
stuttering or stammering,
problems with orgasm,
nose deformity,
lump over jaw,
sore in nose,
hip weakness,
back swelling,
ankle stiffness or tightness,
ankle weakness,
neck weakness,
